*Time 	Charge
3.77391602367612E-5	-2.05305565765093E-9
3.77733053736119E-5	-2.0538694608909E-9
3.78044123763666E-5	-2.05460949178922E-9
3.78336024122134E-5	-2.05530251925566E-9
3.78565131027722E-5	-2.05584833104611E-9
3.78900581136111E-5	-2.05664687095297E-9
3.79294730598751E-5	-2.05758363007314E-9
3.79692094873348E-5	-2.05852560991017E-9
3.80078932057939E-5	-2.05944175754707E-9
3.8044470214087E-5	-2.06030823972675E-9
3.80788579473142E-5	-2.06112128150097E-9
3.81127390285318E-5	-2.06192179891125E-9
3.81522228697462E-5	-2.06285236738646E-9
3.81977015897785E-5	-2.0639211418391E-9
3.82527144408133E-5	-2.06521086502937E-9
3.83223126498677E-5	-2.06683936946415E-9
3.83455784369619E-5	-2.06738330589032E-9
3.83639149094151E-5	-2.06781149631694E-9
3.83753378360626E-5	-2.06807798378075E-9
3.83870264084483E-5	-2.06835044897734E-9
3.83975051389447E-5	-2.06859452389188E-9
3.84063880498432E-5	-2.06880128858007E-9
3.84149544336435E-5	-2.06900056169773E-9
3.8422600867321E-5	-2.06917833269859E-9
3.84285146865341E-5	-2.06931585146778E-9
3.84297570213308E-5	-2.0693447725868E-9
3.84341124455572E-5	-2.06992823945299E-9
3.84369099337478E-5	-2.07049191826857E-9
3.84394928210687E-5	-2.07107394825232E-9
3.84446585957107E-5	-2.07230986519951E-9
3.84469795511509E-5	-2.07287982769161E-9
3.84485659251761E-5	-2.07326887305032E-9
3.84511234066266E-5	-2.07388767181499E-9
3.84531234066266E-5	-2.07435766504328E-9
3.84549373515138E-5	-2.07477506421017E-9
3.8457442565535E-5	-2.07534165523907E-9
3.84610411965196E-5	-2.07613943275922E-9
3.84651776270781E-5	-2.07703400200354E-9
3.84729977082357E-5	-2.07865432266508E-9
3.8485358298696E-5	-2.08099540770463E-9
3.85034123837896E-5	-2.0838802129463E-9
3.8530880918277E-5	-2.0871714576018E-9
3.85578495900158E-5	-2.08943478593165E-9
3.8585924864019E-5	-2.09113326685927E-9
3.86216047565455E-5	-2.09275840272404E-9
